Age_Group,Gender,Salary,Education,Employment,Location_by_region,Choco_Consumption,Sustainability_Score
2,1,0,2,1,1,4,0.084
2,2,3,2,1,1,4,0.29628
1,2,1,2,3,1,4,0.7657
2,2,3,2,1,1,4,0.82338
1,2,1,1,3,2,2,0.09211
2,1,3,2,4,1,3,0.45186
1,2,2,2,1,1,2,0.82338
1,2,1,1,3,1,3,-0.31439
2,2,3,2,1,1,3,-0.87705
1,2,1,2,3,1,2,0.78861
1,2,0,1,3,1,3,0.38657
1,1,1,1,3,2,4,0.7657
2,1,3,2,1,1,3,0.22496
2,2,3,2,2,1,3,0.45355
2,2,1,2,2,1,3,0.22031
1,1,1,2,3,1,2,0.4163
1,2,1,1,3,1,5,0.37935
2,2,3,2,2,1,2,0.93214
2,2,3,2,2,1,2,0.49533
2,1,5,2,1,1,2,0.29746
2,1,4,2,1,1,4,0.47863
1,2,3,2,1,1,4,1.4072
2,1,4,2,1,1,3,0.99664
2,2,3,2,1,1,1,0.48276
2,2,2,1,2,1,3,0.51805
2,2,3,2,1,1,4,0.49533
2,2,3,2,1,1,1,1.1054
2,1,4,2,5,1,1,1.13683
2,2,3,2,1,1,4,0.50954
2,1,6,2,1,1,4,0.93214
2,2,3,2,2,1,2,0.45186
2,2,3,2,10,1,2,1.07954
2,2,3,2,1,1,5,0.48681
2,2,3,2,1,1,3,1.06362
2,1,6,2,5,1,3,0.76274
1,2,4,2,2,1,3,0.92731
2,1,3,2,1,1,2,0.09951
2,2,7,2,1,1,3,0.78842
2,2,2,2,2,1,3,0.29202
2,2,2,1,5,1,2,0.51123
2,2,0,2,1,1,2,1.1054
2,2,2,1,2,1,2,0.29064
1,1,1,1,3,2,2,0.64697
1,2,0,1,3,2,3,0.23099
1,2,1,1,3,2,2,0.20126
2,2,7,2,1,2,2,0.65694
2,2,1,2,3,2,2,-0.39421
2,2,3,2,1,1,3,-0.88746
1,2,1,2,8,1,3,-1.18016
2,1,3,2,1,1,3,0.15648
1,2,2,2,3,1,3,0.18869
2,2,3,2,1,1,3,-0.16979
1,2,3,2,1,1,2,-0.25277
2,2,4,2,1,1,3,-0.29289
2,2,7,1,5,1,4,-0.56178
2,2,7,2,1,1,3,-0.12515
2,2,3,2,1,1,5,0.10659
2,2,4,2,1,1,1,-0.94239
1,2,1,1,3,2,2,0.47053
1,1,1,1,3,2,2,0.08675
1,2,1,2,3,2,3,0.1959
1,1,1,2,3,2,1,0.66245
1,2,1,1,3,2,3,-0.4619
1,2,1,2,4,2,2,0.08032
1,2,3,2,1,2,4,0.91474
2,2,2,1,9,1,4,0.92677
1,2,0,1,3,8,5,0.62963
2,2,3,2,2,1,4,1.53685
2,1,4,2,1,1,3,0.92816
2,2,4,2,1,1,4,1.26817
1,2,1,1,4,2,2,0.97706
1,2,1,1,3,2,2,0.0514
1,2,1,1,3,2,2,1.30047
1,1,1,1,3,1,5,-0.43579
1,2,1,1,3,2,1,0.04184
1,0,1,2,2,2,2,0.03148
2,2,3,2,1,1,3,-0.76983
2,2,3,1,1,1,4,-1.36788
2,1,4,2,7,1,4,-0.63404
2,1,4,1,1,1,1,-1.46942
1,2,1,1,2,2,5,-0.99267
1,2,2,2,2,2,3,-1.13306
1,2,1,2,3,2,3,-1.18408
2,1,4,2,1,1,5,0.54393
2,2,4,2,1,1,5,-1.05369
1,2,1,2,1,1,4,-1.97137
1,2,2,2,5,1,4,-1.151
2,2,3,2,2,1,4,-1.99332
2,2,3,2,1,1,3,-0.66015
1,2,3,2,1,1,4,-1.49013
1,2,3,2,1,1,2,-1.88456
2,2,4,2,1,1,5,-0.48075
1,0,2,2,1,1,4,-0.77574
1,2,1,1,3,1,4,-0.93613
2,1,0,2,7,1,3,-0.98121
1,2,3,2,2,1,5,-0.09441
1,1,1,2,3,1,5,-1.1663
1,1,0,1,3,1,2,-1.95637
1,2,2,2,3,1,3,-0.53549
1,2,1,1,1,1,4,-0.33722
2,0,0,2,1,1,3,-1.03928
1,1,1,1,3,1,4,-1.59593
2,2,2,1,2,1,2,-1.99332
1,2,1,1,4,1,3,-1.6954
2,1,4,2,1,1,4,-1.63771
2,2,3,1,1,1,3,-1.80415
2,1,4,2,1,1,4,-1.59593
2,2,3,1,2,1,4,-1.98127
2,2,4,1,1,1,3,-1.30035
1,1,0,1,3,2,3,-1.66044
1,2,1,1,3,2,3,-2.08795
1,1,1,2,3,2,1,-2.019
1,2,1,1,3,2,3,-2.41794
2,1,6,2,2,1,3,-2.1237
2,2,3,2,1,1,2,0.71323
1,1,0,2,3,1,3,0.95495
1,2,2,2,1,1,3,0.82011
1,1,0,2,8,3,1,0.27237
2,2,3,2,9,1,3,1.26157
1,2,2,2,3,1,4,0.58935
1,2,3,2,1,1,1,1.27926
2,1,5,2,1,1,4,1.25692
1,1,0,1,3,2,2,0.49245
2,2,1,2,3,1,5,0.96232
2,2,5,2,1,1,2,1.1179
1,2,1,2,8,1,4,1.59296
1,2,3,2,1,1,3,0.05341
2,2,4,2,1,1,3,1.73184
